month,download_in_millions,revenue_in_million_usd
2018-12-01,30.84,28.21
2019-01-01,19.55,40.02
2019-02-01,12.9,35.61
2019-03-01,9.92,33.82
2019-04-01,7.37,26.66
2019-05-01,7.92,27.65
2019-06-01,6.59,19.43
2019-07-01,6.48,24.92
2019-08-01,6.9,19.83
2019-09-01,7.26,23.87
2019-10-01,7.16,18.76
2019-11-01,6.05,16.06
2019-12-01,7.89,24.57
2020-01-01,9.45,24.14
2020-02-01,8.54,25.55
2020-03-01,8.9,27.21
2020-04-01,6.62,24.61
2020-05-01,8.09,35.55
2020-06-01,7.57,31.84
2020-07-01,9.29,35.3
2020-08-01,8.3,22.21
2020-09-01,7.93,23.17
2020-10-01,6.6,20.16
2020-11-01,5.89,21.88
2020-12-01,7.01,26.39
2021-01-01,6.81,21.45
2021-02-01,6.34,32.42
2021-03-01,6.43,19.74
2021-04-01,5.92,31.08
2021-05-01,5.67,31.15
2021-06-01,5.98,30.63
2021-07-01,5.22,25.31
2021-08-01,4.96,24.23
2021-09-01,4.81,22.17
2021-10-01,4.87,21.24
2021-11-01,4.88,23.62
2021-12-01,5.45,24.4
2022-01-01,5.24,23.76
2022-02-01,4.07,18.55
2022-03-01,3.89,19.36
2022-04-01,3.27,15.43
2022-05-01,3.15,15.29
2022-06-01,2.9,10.76
2022-07-01,3.27,10.58
2022-08-01,2.79,7.88
2022-09-01,2.73,10.83
2022-10-01,2.84,8.71
2022-11-01,2.62,10.41
2022-12-01,4.66,15.13
2023-01-01,3.52,10.89
2023-02-01,2.48,5.44
2023-03-01,2.64,8.44
2023-04-01,2.57,6.71
2023-05-01,2.49,8.17
2023-06-01,2.21,5.72
2023-07-01,2.8,9.18
2023-08-01,2.51,6.99
2023-09-01,2.81,8.95
2023-10-01,2.92,10.36
2023-11-01,3.08,11.84
2023-12-01,4.69,19.97
2024-01-01,5.34,30.71
2024-02-01,7.13,36.15
2024-03-01,12.36,57.21
2024-04-01,9.98,71.99
2024-05-01,10.52,74.4
2024-06-01,8.42,66.17
2024-07-01,7.39,64.21
2024-08-01,6.72,50.26
2024-09-01,7.74,68.67
2024-10-01,5.84,54.32
2024-11-01,5.62,58.55
2024-12-01,6.33,45.88
2025-01-01,5.57,35.7
2025-02-01,4.82,30.27
2025-03-01,4.53,35.18
2025-04-01,3.9,28.26
2025-05-01,4.13,39.0
2025-06-01,3.9,24.73
