Id,Label,Degree
SHELLY,SHELLY,1
COLT,COLT,3
BULL,BULL,16
BROCK,BROCK,4
RICO,RICO,8
SPIKE,SPIKE,16
BARLEY,BARLEY,0
JESSIE,JESSIE,19
NITA,NITA,7
DYNAMIKE,DYNAMIKE,4
EL PRIMO,EL PRIMO,3
MORTIS,MORTIS,14
CROW,CROW,37
POCO,POCO,5
BO,BO,34
PIPER,PIPER,7
PAM,PAM,6
TARA,TARA,32
DARRYL,DARRYL,17
PENNY,PENNY,5
FRANK,FRANK,21
GENE,GENE,4
TICK,TICK,20
LEON,LEON,10
ROSA,ROSA,4
CARL,CARL,19
BIBI,BIBI,11
8-BIT,8-BIT,6
SANDY,SANDY,18
BEA,BEA,1
EMZ,EMZ,6
MR. P,MR. P,40
MAX,MAX,7
JACKY,JACKY,10
GALE,GALE,7
NANI,NANI,7
SPROUT,SPROUT,12
SURGE,SURGE,14
COLETTE,COLETTE,44
AMBER,AMBER,19
LOU,LOU,16
BYRON,BYRON,11
EDGAR,EDGAR,7
RUFFS,RUFFS,7
STU,STU,3
BELLE,BELLE,10
SQUEAK,SQUEAK,23
GROM,GROM,26
BUZZ,BUZZ,10
GRIFF,GRIFF,24
ASH,ASH,16
MEG,MEG,28
LOLA,LOLA,14
FANG,FANG,23
EVE,EVE,18
JANET,JANET,40
BONNIE,BONNIE,39
OTIS,OTIS,17
SAM,SAM,12
GUS,GUS,17
BUSTER,BUSTER,27
CHESTER,CHESTER,22
GRAY,GRAY,30
MANDY,MANDY,20
R-T,R-T,26
WILLOW,WILLOW,14
MAISIE,MAISIE,16
HANK,HANK,16
CORDELIUS,CORDELIUS,53
DOUG,DOUG,54
PEARL,PEARL,9
CHUCK,CHUCK,18
CHARLIE,CHARLIE,37
MICO,MICO,26
KIT,KIT,27
LARRY & LAWRIE,LARRY & LAWRIE,14
MELODIE,MELODIE,21
ANGELO,ANGELO,11
DRACO,DRACO,48
LILY,LILY,36
BERRY,BERRY,16
CLANCY,CLANCY,13
MOE,MOE,13
KENJI,KENJI,25
SHADE,SHADE,30
JUJU,JUJU,15
MEEPLE,MEEPLE,26
OLLIE,OLLIE,25
LUMI,LUMI,16
FINX,FINX,20
JAE-YONG,JAE-YONG,26
KAZE,KAZE,56
ALLI,ALLI,43
TRUNK,TRUNK,0
